FPR,TPR
0.67849247,0.92233781
0.681917786,0.92233781
0.684773301,0.92233781
0.687059015,0.923479039
0.689343101,0.924621897
0.699607652,0.936022792
0.701891738,0.936594221
0.703032967,0.938308506
0.713888482,0.948022792
0.71617094,0.949165649
0.719597884,0.950308506
0.727024827,0.958308506
0.729880342,0.958879935
0.732735857,0.958879935
0.736734229,0.960021164
0.739019943,0.960590965
0.742446886,0.961733822
0.746445258,0.961733822
0.751579976,0.96230525
0.757291005,0.964590965
0.758432234,0.96630525
0.761284493,0.967448107
0.76356858,0.968590965
0.765852666,0.969162393
0.769277981,0.969162393
0.773274725,0.969162393
0.77613024,0.97030525
0.780128612,0.97030525
0.783555556,0.97030525
0.78641107,0.97030525
0.789266585,0.97030525
0.7921221,0.970876679
0.797264957,0.972017908
0.800117216,0.973732194
0.802974359,0.974301994
0.805829874,0.974301994
0.808685389,0.974301994
0.811540904,0.975444851
0.81439479,0.97601628
0.817251933,0.976586081
0.82010582,0.977728938
0.823532764,0.977728938
0.826388278,0.977728938
0.828102564,0.978870167
0.83038665,0.979441595
0.832670737,0.980013024
0.83552788,0.981725682
0.838954823,0.981725682
0.842381766,0.981725682
0.845237281,0.981725682
0.847521368,0.98229711
0.850376882,0.98229711
0.85208954,0.983439967
0.854945055,0.983439967
0.85780057,0.983439967
0.859513228,0.984582825
0.862368742,0.984582825
0.865224257,0.984582825
0.866936915,0.985725682
0.870363858,0.985725682
0.873219373,0.985725682
0.876074888,0.985725682
0.878358974,0.98629711
0.881214489,0.98629711
0.884641433,0.986868539
0.888068376,0.986868539
0.890923891,0.986868539
0.894922263,0.986868539
0.897777778,0.986868539
0.900061864,0.987439967
0.902917379,0.988009768
0.905201465,0.988581197
0.90805698,0.988581197
0.910341066,0.989724054
0.913196581,0.989724054
0.916052096,0.989724054
0.920050468,0.990293854
0.922905983,0.990293854
0.925761498,0.990293854
0.928617013,0.990293854
0.931472527,0.990865283
0.934328042,0.990865283
0.937183557,0.990865283
0.940610501,0.990865283
0.943466015,0.990865283
0.945750102,0.991436711
0.948034188,0.99200814
0.951461131,0.99200814
0.954316646,0.99200814
0.957172161,0.99200814
0.960027676,0.99200814
0.962311762,0.993149369
0.965167277,0.993149369
0.968590965,0.993720798
0.970875051,0.994292226
0.973159137,0.994863655
0.976014652,0.994863655
0.978870167,0.995435083
0.981155881,0.996004884
0.984011396,0.996574685
0.986295482,0.997717542
1,1
